calibration_bias,seed,terminal_pnl,fill_count,spread_capture,adverse_selection,settlement_noise,identity_error,as_INFORMED,as_VALUE,as_NOISE
-0.04,11,-277.1857816973403,880,17.501553009384274,-39.44600391515003,-255.24133079157454,0.0,-24.759169391896528,-14.476893958930708,-0.20994056432279823
-0.04,12,-265.6154113649211,788,14.551674579448822,-30.111328496377606,-250.0557574479924,5.684341886080802e-14,-20.09234052610078,-10.966195071182788,0.9472071009059593
-0.04,13,140.83108428978304,877,17.22885257745283,-39.91808949238708,163.52032120471722,5.684341886080802e-14,-25.322732453275247,-15.06442536659673,0.469068327484894
-0.04,14,-133.16384468973916,879,17.580000000000013,-37.631163079368434,-113.11268161037081,5.684341886080802e-14,-24.900204524522888,-13.811126238287514,1.0801676834419647
-0.04,15,159.86602510162697,807,15.446356667356905,-32.56819729061537,176.9878657248851,3.410605131648481e-13,-20.31017919808088,-12.095434046220182,-0.162584046314315
-0.04,16,-327.3317220253075,875,17.02115580500465,-40.03841747284314,-304.3144603574691,1.1368683772161603e-13,-24.41846459786391,-14.200113583218656,-1.4198392917605784
-0.04,17,-194.300690044471,922,18.381559055338748,-39.253656513806085,-173.42859258600373,8.526512829121202e-14,-25.115095966276655,-14.668989096288254,0.5304285487588261
-0.04,18,-125.94313910420368,888,17.760000000000012,-38.236362924128706,-105.46677618007485,1.4210854715202004e-13,-24.734972420573087,-14.212545115497262,0.711154611941647
-0.04,19,289.8956024515596,857,17.14000000000001,-38.617995908089995,311.3735983596495,1.1368683772161603e-13,-24.41254679390513,-14.220459258772165,0.01501014458730432
-0.04,20,-93.0633507170283,880,17.600000000000016,-40.08499870903998,-70.57835200798817,1.7053025658242404e-13,-25.42520057523783,-13.317597527045738,-1.3422006067564087
-0.04,21,-198.73384946402848,897,17.940000000000012,-38.110229068372945,-178.56362039565533,2.2737367544323206e-13,-26.163446912604602,-11.85599638596033,-0.09078576980801722
-0.04,22,-204.0315052320802,912,18.240000000000016,-37.828943789890474,-184.4425614421897,2.842170943040401e-14,-24.57185312535799,-15.461966167750202,2.2048755032177163
-0.04,23,79.75400313449377,893,16.84091543182405,-37.30557737121491,100.21866507388451,1.2789769243681803e-13,-24.009938854068565,-13.710956054503507,0.4153175373571666
-0.04,24,120.20682724224292,887,17.041167250683902,-36.481763849779426,139.6474238413386,1.4210854715202004e-13,-24.76307134523602,-11.993547825235595,0.2748553206921915
-0.04,25,-167.06897786817575,905,18.100000000000012,-39.53188390930744,-145.63709395886835,2.842170943040401e-14,-25.415572959928472,-13.38788632659941,-0.7284246227795619
